,branch name,acc no,branch code,bank code
0,UOB Main,101,001,7375
1,UOB Jalan Sultan,102,002,7375
2,UOB City Plaza,103,003,7375
3,UOB Tai Seng,104,004,7375
4,UOB Rochor,105,005,7375
5,UOB Novena Square,106,006,7375
6,UOB Thomson,107,007,7375
7,UOB Vivo City,108,008,7375
8,UOB Anson Road,109,057,7375
9,UOB Thomson,110,010,7375
10,UOB Anson Road,111,057,7375
11,UOB Bukit Panjang,112,012,7375
12,UOB Jurong Point,113,013,7375
13,UOB City Plaza,114,014,7375
14,UOB Toa Payoh,115,015,7375
15,UOB Novena Square,116,016,7375
16,UOB Coleman,117,017,7375
17,UOB Scotts,118,018,7375
18,UOB New Bridge,119,019,7375
19,UOB Holland,120,020,7375
20,UOB Anson Road,121,057,7375
21,UOB Thomson,122,022,7375
22,UOB Serangoon Garden,123,023,7375
23,UOB Serangoon Garden,124,024,7375
24,UOB Parkway Parade,125,025,7375
25,UOB Upper Bukit Timah,126,059,7375
26,UOB Bedok,127,027,7375
27,UOB Ang Mo Kio,128,028,7375
28,UOB Scotts Square,129,029,7375
29,UOB Clementi,130,030,7375
30,UOB Parkway Parade,131,031,7375
31,UOB City Plaza,132,032,7375
32,UOB Novena Square,133,033,7375
33,UOB Clementi,134,034,7375
34,UOB Boon Lay,135,035,7375
35,UOB Parkway Parade,136,036,7375
36,UOB Suntec City,137,037,7375
37,UOB Tampines,138,038,7375
38,UOB Northpoint,139,039,7375
39,UOB Changi Airport,140,040,7375
40,UOB Bukit Batok Central,141,041,7375
41,UOB Coleman,142,042,7375
42,UOB Changi Airport,143,043,7375
43,UOB Pasir Ris,144,044,7375
44,UOB Woodlands,145,045,7375
45,UOB Coleman,146,046,7375
46,UOB Rochor,147,047,7375
47,UOB Coleman,148,048,7375
48,UOB Tiong Bahru Plaza,150,050,7375
49,UOB Bukit Batok Central,151,051,7375
50,UOB Suntec City,152,052,7375
51,UOB Boon Lay,153,053,7375
52,UOB Bukit Panjang,154,054,7375
53,UOB Tampines,155,055,7375
54,UOB Bukit Panjang,156,056,7375
55,UOB Anson Road,157,057,7375
56,UOB Jalan Sultan,158,058,7375
57,UOB Upper Bukit Timah,159,059,7375
58,UOB Vivo City,160,060,7375
59,UOB Parkway Parade,162,062,7375
60,UOB Hougang,163,063,7375
61,UOB City Plaza,164,064,7375
62,UOB Bishan,166,066,7375
63,UOB Bendemeer,167,067,7375
64,UOB Orchard,168,068,7375
65,UOB Macpherson,169,069,7375
66,UOB Main,180,080,7375
67,UOB Anson Road,201,057,7375
68,UOB Jalan Sultan,202,058,7375
69,UOB Upper Bukit Timah,203,059,7375
70,UOB Jalan Sultan,204,058,7375
71,UOB Vivo City,206,060,7375
72,UOB Parkway Parade,207,062,7375
73,UOB Upper Bukit Timah,208,059,7375
74,UOB Hougang,209,063,7375
75,UOB Vivo City,210,060,7375
76,UOB City Plaza,211,064,7375
77,UOB Bishan,212,066,7375
78,UOB Hougang,213,063,7375
79,UOB Vivo City,215,060,7375
80,UOB Bendemeer,216,067,7375
81,UOB Orchard,217,068,7375
82,UOB Bendemeer,218,067,7375
83,UOB Macpherson,219,069,7375
85,UOB Main,3013,001,7375
88,UOB Coleman,3011,046,7375
90,UOB Coleman,302,046,7375
91,UOB Rochor,303,047,7375
92,UOB Coleman,304,048,7375
93,UOB Tiong Bahru Plaza,307,307,7375
94,UOB Admiralty,308,308,7375
95,UOB Jalan Sultan,309,002,7375
96,UOB Tai Seng,310,004,7375
97,UOB Coleman,311,311,7375
98,UOB Novena Square,312,006,7375
99,UOB Thomson,314,007,7375
100,UOB Anson Road,318,057,7375
101,UOB Orchard,320,320,7375
102,UOB Suntec City,321,037,7375
103,UOB Bukit Panjang,324,012,7375
104,UOB Ang Mo Kio,327,327,7375
105,UOB Bedok,328,328,7375
106,UOB Jurong Point,330,013,7375
107,UOB Farrer Park,332,332,7375
108,UOB City Plaza,335,014,7375
109,UOB JEM,336,336,7375
110,UOB City Plaza,337,064,7375
111,UOB Tampines,338,038,7375
112,UOB Novena Square,339,016,7375
113,UOB New Bridge,340,019,7375
114,UOB Holland,341,020,7375
115,UOB New Bridge,343,343,7375
116,UOB Serangoon Garden,344,024,7375
117,UOB Northpoint,346,346,7375
118,UOB Upper Bukit Timah,347,059,7375
119,UOB Bedok,348,027,7375
120,UOB Ang Mo Kio,349,028,7375
121,UOB Main,350,001,7375
122,UOB Main,351,351,7375
123,UOB Main,352,001,7375
124,UOB Bishan,353,066,7375
125,UOB Rochor,354,047,7375
126,UOB Toa Payoh,355,015,7375
127,UOB Parkway Parade,356,062,7375
128,UOB Scotts Square,357,018,7375
129,UOB Northpoint,358,446,7375
130,UOB Scotts Square,359,029,7375
131,UOB Clementi,360,030,7375
132,UOB Parkway Parade,361,031,7375
133,UOB City Plaza,362,032,7375
134,UOB Boon Lay,363,035,7375
135,UOB Parkway Parade,364,036,7375
136,UOB Suntec City,365,037,7375
137,UOB Tampines,366,038,7375
138,UOB Northpoint,367,039,7375
139,UOB Changi Airport,368,040,7375
140,UOB Bukit Batok Central,369,041,7375
141,UOB Pasir Ris,370,044,7375
142,UOB Woodlands,371,045,7375
143,UOB Coleman,372,046,7375
144,UOB Tiong Bahru Plaza,373,050,7375
145,UOB Anson Road,374,057,7375
146,UOB Upper Bukit Timah,375,059,7375
147,UOB Vivo City,376,060,7375
148,UOB City Plaza,377,064,7375
149,UOB Hougang,378,063,7375
150,UOB Bendemeer,379,067,7375
151,UOB Orchard,380,068,7375
